t,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,V1
2016-06-01,1406534953574670000,241984,530.9043199979185,541.8974279280676,526.0070684627683,534.929231166291,151046579,56.18497783,15610025.0,234241,0.0285
2016-06-02,1362050408393520000,233295,535.7512917789136,540.7093676471434,532.5139283804709,538.0219157804956,151279874,58.53519721,15613475.0,230961,0.0265
2016-06-03,1396458364650890000,241706,537.911823343279,577.2765149782872,536.7136464288385,570.0249109843392,151521580,54.69656979,15617025.0,234527,0.028
2016-06-04,1180469535866910000,200854,571.627702904571,591.6440248954505,563.6182873099939,574.1044870799856,151722434,46.44371282,15620000.0,196546,0.029
2016-06-05,1674066467233650000,196131,575.0335199696692,583.4591508819738,569.5729895898222,574.6507220672327,151918565,44.16827831,15624250.0,189632,0.0285
2016-06-06,1687812831952650000,235941,574.785838894048,586.8736808805706,574.785838894048,585.2448605161708,152154506,52.13956486,15628500.0,221001,0.0285
2016-06-07,1387437150745860000,246021,585.6862966212486,591.1439898943783,566.5657032146594,578.1194883937324,152400527,52.51815706,15632000.0,230876,0.0285
2016-06-08,1462589869127690000,237957,579.4903598009907,583.8677639645213,573.4473919796058,583.0049348368627,152638484,50.40981971,15635600.0,229789,0.0265
2016-06-09,1560155536696920000,253173,583.0639515880066,583.0639515880066,573.5869843355222,577.0760450769253,152891657,53.21550949,15639725.0,236188,0.0265
2016-06-10,1389789640701780000,243463,577.1265194256587,580.6896209982035,573.3044184967522,579.8212995235086,153135120,52.81223012,15643325.0,228223,0.025
2016-06-11,1528537892241960000,217935,580.3216450345686,608.9076902539115,578.4525400065389,607.17430380675,153353055,46.24529278,15647225.0,213003,0.026
2016-06-12,1411097731548400000,215516,608.6200630462736,682.7562052433839,605.5162946470258,671.0887766935982,153568571,52.42482099,15650875.0,210565,0.038
2016-06-13,1573191093043540000,260602,671.9027157852627,720.2683763211442,661.7060357970829,705.2537025153345,153829173,63.87453511,15654900.0,251193,0.045
2016-06-14,1280386777386960000,256777,705.2963603893484,705.9464186344967,660.370639050979,685.1158454197318,154085950,69.04509389,15658200.0,246697,0.039
2016-06-15,1492000808759430000,272736,685.1258522930829,697.4923346649625,673.1218840165232,697.4923346649625,154358686,83.38614703,15662000.0,259050,0.0345
2016-06-16,1462877416903200000,277533,698.7462567985158,773.7708883527307,698.7462567985158,768.6542678135833,154636219,82.29665972,15665725.0,267721,0.045
2016-06-17,1435315424754850000,270576,768.5683141803297,777.5688598816687,713.8883161435806,752.9334092068809,154906795,78.90209509,15669450.0,253603,0.0455
2016-06-18,1535272265549930000,244420,750.3271643475698,780.654385546416,737.1052625412837,757.3416662071204,155151215,70.57830565,15673400.0,235159,0.0375
2016-06-19,1724111331276870000,222856,757.2189034868209,767.5646892828629,743.0008035417112,767.4518264835016,155374071,63.14349102,15677825.0,218121,0.032
2016-06-20,1590032632092820000,265089,766.0641794208384,766.4172250882075,715.3350485677917,715.3350485677917,155639160,76.7711358,15681925.0,249170,0.0355
2016-06-21,1536713532772790000,268803,710.9793235366367,719.6805456389582,632.1237096218553,667.217531653078,155907963,76.28917579,15685650.0,248015,0.0415
2016-06-22,1335585472743700000,249235,666.5849754316642,678.5882297805825,583.0424385698525,597.5623930748819,156157198,78.85018659,15688875.0,235512,0.0355
2016-06-23,1451410292021120000,261294,599.3067570426552,631.4387765727064,549.6573936660673,627.9657566291881,156418492,75.30395381,15692375.0,241160,0.038
2016-06-24,1342383210230620000,256534,627.5104086652805,688.7491628850751,627.5104086652805,667.5468611638372,156675026,74.11847429,15695600.0,237496,0.05
2016-06-25,1687110632270890000,221625,667.72141436574,695.0630420007806,649.9383978873786,665.7125861193371,156896651,60.99766676,15699650.0,206757,0.038
2016-06-26,1534623965260440000,194844,666.6930781186629,673.0780799150666,618.7590337400092,633.8908753967772,157091495,54.30478358,15703300.0,181202,0.031
2016-06-27,1520371429115380000,234512,634.1522438488288,658.089313736966,622.5316424925908,657.042473154401,157326007,61.78464957,15706975.0,216882,0.0325
2016-06-28,1543168874662280000,248560,659.3577463080502,661.4175913689517,638.897108175417,647.9137512329382,157574567,58.37675619,15710675.0,212459,0.0325
2016-06-29,1505873629218580000,239707,641.5805610354699,645.8450572049156,625.961906912619,637.0942855303231,157814274,61.68595835,15714325.0,223966,0.029
2016-06-30,1550062833777420000,252446,637.4422842688522,672.7976935876231,630.4935962363927,672.6324199351302,158066720,62.5040288,15718075.0,231810,0.0295
2016-07-01,1623174034535230000,231671,669.4751742208549,687.441107119406,664.0663521627281,677.7523138559045,158298391,57.69296304,15721950.0,205646,0.0237
2016-07-02,1539216327704010000,216007,677.0835062496142,703.0031427888437,675.9202309965603,703.0031427888437,158514398,52.92652832,15725675.0,198726,0.0204
2016-07-03,1616484228049240000,194232,704.8098029288469,704.8098029288469,649.9484423876585,661.439850366025,158708630,45.47185343,15729525.0,176973,0.0222
2016-07-04,1539859578753960000,233483,661.240363258809,682.703227911052,651.5361938055695,681.3720236261811,158942113,55.14588726,15733300.0,213749,0.0216
