t,Unnamed: 0,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,google_trends,transfers_med,sigma,gold,sp500,vix
2020-12-24,1819,114954071251531000000,447429,23241.34486501347,23764.75340487314,22820.304565600552,23764.75340487314,755924176,106.42944422,18580212.5,269433,0.1333,0.03262542,0.025113145566403,1879.9000244140625,3703.06005859375,21.530000686645508
2020-12-25,1820,133658648082638000000,474667,23735.94972762694,24710.10155606625,23463.674272543816,24688.21152033385,756398843,92.48494577,18581112.5,303757,0.1488,0.02597235,0.0272357588591794,1879.9000244140625,3703.06005859375,21.530000686645508
2020-12-26,1821,127352989515329000000,448279,24664.790274118965,26682.22230843532,24529.44546680423,26440.24870020325,756847122,69.64322741,18581968.75,273817,0.2232,0.03039211,0.0408887411420908,1879.9000244140625,3703.06005859375,21.530000686645508
2020-12-27,1822,136527494404802000000,503446,26437.03750909808,28288.84002225263,25974.0023756699,26388.149455672108,757350568,91.99329678,18582893.75,308857,0.2883,0.0289695,0.0603556287319527,1879.9000244140625,3703.06005859375,21.530000686645508
2020-12-28,1823,148273901331699000000,510439,26272.294567057223,27357.48794088653,26220.91144942981,27098.952753928424,757861007,99.54006659,18583893.75,308823,0.2325,0.0300976,0.0230114723970645,1877.199951171875,3735.360107421875,21.700000762939453
2020-12-29,1824,140440271419454000000,560252,27084.807886277576,27324.988106434248,26017.62014636856,27324.988106434248,758421259,105.85291043,18584843.75,336159,0.1984,0.02958568,0.0342307296984396,1879.699951171875,3727.0400390625,23.079999923706055
2020-12-30,1825,159169625413015000000,566819,27362.43655730444,28928.991861887724,27362.43655730444,28827.007973579824,758988078,105.14390344,18585918.75,338086,0.2356,0.02972936,0.0223497848862113,1891.0,3732.0400390625,22.770000457763672
2020-12-31,1826,153010994865172000000,569538,28840.953419677888,29244.75045731144,28201.99199363964,28988.642493531017,759557616,113.57123643,18586956.25,344752,0.2294,0.02602185,0.0254762286484845,1893.0999755859373,3756.070068359375,22.75
2021-01-01,1827,137674793367053000000,439557,29001.71982217693,29594.35158926772,28822.724488828,29354.31049268013,759997173,48.9427014,18587887.5,257931,0.2318,0.02047001,0.0171050255621485,1893.0999755859373,3756.070068359375,22.75
2021-01-02,1828,139456642693558000000,515203,29374.15188907318,33155.118819421725,29119.899885769028,32031.61971248076,760512376,79.69906722,18588831.25,296960,0.4026,0.03040814,0.0743183471409464,1893.0999755859373,3756.070068359375,22.75
